"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"680",2000,1,0,704.977,7.5006,563.886205296326
"680",2000,1,0,709.937,5.22264,563.886205296326
"680",2000,1,20,725.763,6.50052,563.886205296326
"680",2000,1,97,696.058,7.55616,563.886205296326
"680",2000,1,14,697.189,4.22256,563.886205296326
"680",2000,1,36,610.619,6.2505,563.886205296326
"680",2000,1,0,742.267,5.88936,563.886205296326
"680",2000,1,48,697.189,4.5837,563.886205296326
"680",2000,1,0,668.581,0.8334,563.886205296326
"680",2000,1,15,690.12,8.13954,563.886205296326
"680",2000,1,0,725.763,8.1951,563.886205296326
"680",2000,1,0,743.761,5.556,563.886205296326
"680",2000,1,0,725.763,7.9636,563.886205296326
"680",2000,1,6,725.763,4.7226,563.886205296326
"680",2000,1,50,742.267,5.0004,563.886205296326
"681",2000,1,11,586.04,8.69514,563.886205296326
"681",2000,1,57,641.668,6.86166,563.886205296326
"681",2000,1,0,621.522,7.2228,563.886205296326
"681",2000,1,470,578.422,7.38948,563.886205296326
"681",2000,1,7,751.758,7.6395,563.886205296326
"681",2000,1,15,605.974,6.33384,563.886205296326
"681",2000,1,0,622.951,8.0562,563.886205296326
"681",2000,1,30,572.526,9.8619,563.886205296326
"681",2000,1,89,578.422,7.0839,563.886205296326
"681",2000,1,0,631.347,8.334,563.886205296326
"681",2000,1,15,557.926,7.2228,563.886205296326
"681",2000,1,85,631.347,11.3898,563.886205296326
"681",2000,1,64,544.594,8.7507,563.886205296326
"681",2000,1,194,621.522,6.6672,563.886205296326
"681",2000,1,6,725.763,6.2505,563.886205296326
"681",2000,1,0,690.12,6.945,563.886205296326
"681",2000,1,24,492.449,8.334,563.886205296326
"681",2000,1,0,725.763,7.69506,563.886205296326
"681",2000,1,72,704.977,10.36194,563.886205296326
"682",2000,1,0,446.902,10.36194,563.886205296326
"682",2000,1,0,531.149,8.83404,563.886205296326
"682",2000,1,82,591.416,8.334,563.886205296326
"682",2000,1,0,592.656,9.36186,563.886205296326
"682",2000,1,0,472.377,3.6114,563.886205296326
"682",2000,1,0,472.377,2.72244,563.886205296326
"683",2000,1,0,444.913,7.83396,563.886205296326
"687",2000,1,36,378.432,6.74128,563.886205296326
"708",2000,1,0,488.063,15.5568,563.886205296326
"710",2000,1,0,445.416,12.964,563.886205296326
"741",2000,1,0,662.343,10.0008,566.162263486694
"742",2000,1,15,610.343,7.0839,566.162263486694
